frame.time_epoch	frame.len	eth.src	eth.dst	ip.src	ip.dst	tcp.srcport	tcp.dstport	udp.srcport	udp.dstport	icmp.type	icmp.code	arp.opcode	arp.src.hw_mac	arp.src.proto_ipv4	arp.dst.hw_mac	arp.dst.proto_ipv4	ipv6.src	ipv6.dst
1716660701.012435000	213	d0:88:0c:7d:1d:0e	01:00:5e:7f:ff:fa	192.168.1.31	239.255.255.250			61796	1900									
1716660701.626950000	218	d0:88:0c:7d:1d:0e	01:00:5e:7f:ff:fa	192.168.1.31	239.255.255.250			62144	1900									
1716660702.233204000	78	9c:a2:f4:12:bd:22	33:33:00:00:00:01														fe80::2aa:bbff:fe01:2340	ff02::1
1716660702.402444000	55	8c:55:4a:ce:47:e4	9c:a2:f4:12:bd:22	192.168.1.120	185.199.109.154	57111	443											
1716660702.453645000	66	9c:a2:f4:12:bd:22	8c:55:4a:ce:47:e4	185.199.109.154	192.168.1.120	443	57111											
1716660702.986324000	55	8c:55:4a:ce:47:e4	9c:a2:f4:12:bd:22	192.168.1.120	173.194.69.188	50938	5228											
1716660703.058905000	66	9c:a2:f4:12:bd:22	8c:55:4a:ce:47:e4	173.194.69.188	192.168.1.120	5228	50938											
1716660703.806768000	55	8c:55:4a:ce:47:e4	9c:a2:f4:12:bd:22	192.168.1.120	172.217.169.206	57447	443											
1716660703.844128000	66	9c:a2:f4:12:bd:22	8c:55:4a:ce:47:e4	172.217.169.206	192.168.1.120	443	57447											
1716660704.581125000	55	8c:55:4a:ce:47:e4	9c:a2:f4:12:bd:22	192.168.1.120	52.111.255.0	51463	443											
